ID,Life expectancy
2546,72.81070169555827
650,75.59084421000196
1740,74.621358321053
177,76.89346566052339
1377,50.864228594138226
535,52.103339468457904
2371,66.93319025315785
2014,73.69905572642953
321,77.31771459588137
2493,55.144849675009105
495,51.37149504527062
432,53.53113740789753
1078,57.86947107190913
1611,74.50115687402834
2828,69.23146419612782
1128,62.445644899065385
1569,58.28186175705784
1005,79.31441916969777
785,72.30526944535555
1924,78.98717126631485
1840,80.35298507274314
1849,84.42377904389997
1867,73.05692918180462
1713,66.62919352673163
256,71.83215372671725
781,73.12572482779893
2297,50.61841648095468
296,65.70519464893174
1912,82.36690495572137
1862,74.92580235261424
2033,67.06378322988405
986,73.05089297780617
331,75.25475352931966
1149,72.34065378775463
1550,78.19854621447175
1778,49.179723567576154
2715,63.20026617295588
2648,72.92285482093736
2708,63.78093649465097
1338,72.89387855464292
2632,53.92034814356873
2620,60.21449145224593
2757,75.21369953688352
124,82.82826853789146
2813,76.98692722929488
521,46.26386804918008
1295,81.36183423490058
1610,75.54133945861444
402,59.51203869391892
194,72.84489637361231
2390,53.523742276188784
2183,72.43986983648031
1032,82.00971857823734
2095,80.8836071316942
1465,74.22118171540191
2718,58.601726368709805
1525,73.07287669687102
1609,75.6126285136323
2611,62.82331155307412
196,71.63769797975534
2802,77.9860041610344
2631,54.18743331452518
1222,74.30837848589353
457,72.58631757922424
1088,53.28964681019458
2400,56.65170680793459
430,52.41698346036002
644,77.27798380909427
858,60.14925186396479
1533,71.9238764616093
937,82.49167881735397
555,78.24750623792218
1334,73.58341310186141
51,51.32262161624095
1764,56.73877247428914
2115,68.04455223506079
2895,63.81693343770044
178,76.89744622555978
478,58.84694348412078
2484,68.65276180370194
1558,63.74698603012182
2258,63.9970780694436
1729,63.436680848443686
1825,63.923449047029806
463,72.33134412983053
1260,78.92476544588835
2244,73.14378787091668
2035,66.77023489400881
1451,72.5249589031154
1036,79.82105319142427
2279,72.74359119643441
2723,53.914619970027246
2016,73.56058559505118
1732,76.28871200861775
67,75.78677352034956
817,68.37625220710157
2329,77.05142014384519
809,70.18717518535732
1113,66.00175844934924
1795,61.14329831110214
1920,82.49972610377205
528,52.77594000965942
567,74.47114887263183
1089,52.855553766075744
2666,75.75884062020296
507,80.9453119610864
1700,70.52243469132749
203,67.5203510084626
1134,59.18222149755478
1362,63.127584370877386
318,63.70686994337045
1437,60.35766198788349
1808,53.45965832691727
1192,66.35008081387468
1196,64.55212019705607
557,77.61254170291821
2721,56.34859287728011
1503,53.50191788203118
727,57.589475430435286
2897,63.288018771360925
1950,64.0960049444903
2474,71.63058550825309
2507,82.33176777832082
1023,57.46691456194536
2472,59.02884598695786
471,65.34017974976376
1230,74.16033204068147
1800,63.543147637829556
2185,74.05836584747232
1675,72.4366786545736
354,74.80037101364964
498,82.91770461499685
1745,73.46548863249083
